LogType(v1.1),RootLogId,SubLogId,TransactionId,Instance,Operation,Status,User,Hostname,Protocol,Target,StartTime,ExecuteTime,ResponseCode,FullRequest,FullResponse,ReplayLogId
northbound,node11609210707360422CAI3G1_2,,,ISDN=008615800000001,Create,SUCCESSFUL,admin,node1,CAI3G1_2,SAPC@http://www.chinamobile.com/PCRF/,2016-09-21 07.07.36.990,00 00:00:00.106,0,"<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:pcrf=""http://www.chinamobile.com/PCRF/"" xmlns:pcrf1=""pcrf:soap""><soapenv:Header><pcrf:Header>
         <Address>127.0.0.1</Address>
         <Username>admin</Username>
         <Password>******</Password>
         <time>?</time>
         <serial>?</serial>
      </pcrf:Header></soapenv:Header><soapenv:Body>
      <pcrf1:addSubscriber>
         <inPara>
            <subscriber>
               <attribute>
                  <key>usrIdentifier</key>
                  <value>008615800000001</value>
               </attribute>
               <attribute>
                  <key>usrNotifyMSISDN</key>
                  <value>008615800000002</value>
               </attribute>
               <attribute>
                  <key>usrIMSI</key>
                  <value>460000722009813</value>
               </attribute>
               <attribute>
                  <key>usrBillingType</key>
                  <value>1</value>
               </attribute>
               <attribute>
                  <key>usrGrade</key>
                  <value>20</value>
               </attribute>
               <attribute>
                  <key>usrStatus</key>
                  <value>1</value>
               </attribute>
               <attribute>
                  <key>usrBillCycleDate</key>
                  <value>1</value>
               </attribute>
               <attribute>
                  <key>PackageType</key>
                  <value>0</value>
               </attribute>
               <attribute>
                  <key>operateTime</key>
                  <value>20150401000000</value>
               </attribute>
            </subscriber>
         </inPara>
      </pcrf1:addSubscriber>
   </soapenv:Body></soapenv:Envelope>","<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/""><S:Body><ns3:addSubscriberResponse xmlns:ns2=""http://www.chinamobile.com/PCRF/"" xmlns:ns3=""pcrf:soap""><result><resultCode>0</resultCode></result></ns3:addSubscriberResponse></S:Body></S:Envelope>",
internal,node11609210707360422CAI3G1_2,/1,,pcSubscriberId=008615800000001,CREATE,SUCCESSFUL,admin,node1,,{http://schemas.ericsson.com/ma/SAPC/}CreateSAPCSubscription,2016-09-21 07.07.37.004,00 00:00:00.000,0,"<?xml version=""1.0"" encoding=""ISO-8859-1"" standalone=""yes""?>
<CreateSAPCSubscription xmlns=""http://schemas.ericsson.com/ma/SAPC/"" xmlns:cai3=""http://schemas.ericsson.com/cai3g1.2/"" xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" pcSubscriberId=""008615800000001"">
<pcSubscriberId>008615800000001</pcSubscriberId>
<pcTrafficId pcTrafficId=""usrIdentifier:008615800000001"">
<pcTrafficId>usrIdentifier:008615800000001</pcTrafficId>
</pcTrafficId>
<pcTrafficId pcTrafficId=""usrIMSI:460000722009813"">
<pcTrafficId>usrIMSI:460000722009813</pcTrafficId>
</pcTrafficId>
<pcGroup pcGroupId=""Silver"">
<pcGroupId>Silver</pcGroupId>
<pcGroupPriority>100</pcGroupPriority>
</pcGroup>
<pcGroup pcGroupId=""Inpackage"">
<pcGroupId>Inpackage</pcGroupId>
<pcGroupPriority>30</pcGroupPriority>
<pcGroupStartDate>21-09-2016T07:07:36</pcGroupStartDate>
<pcGroupEndDate>01-10-2016</pcGroupEndDate>
</pcGroup>
<pcNotificationData>
<pcNotificationSMS pcNotificationSMS=""008615800000002"">
<pcNotificationSMS>008615800000002</pcNotificationSMS>
</pcNotificationSMS>
</pcNotificationData>
<pcSubcriberQualificationData>
<pcSubscriberChargingProfile>
<pcSubscriberChargingProfileName>offline</pcSubscriberChargingProfileName>
</pcSubscriberChargingProfile>
</pcSubcriberQualificationData>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""PackageType:0"">
<pcOperatorSpecificInfo>PackageType:0</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""usrBillCycleDate:1"">
<pcOperatorSpecificInfo>usrBillCycleDate:1</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
<pcOperatorSpecificInfo pcOperatorSpecificInfo=""operateTime:20150401000000"">
<pcOperatorSpecificInfo>operateTime:20150401000000</pcOperatorSpecificInfo>
</pcOperatorSpecificInfo>
</CreateSAPCSubscription>",JOBID=1176;,
internal,node11609210707360422CAI3G1_2,/2,,,GET,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.008,00 00:00:00.005,,,[LDAP: error code 32 - No Such Object],
southbound,node11609210707360422CAI3G1_2,/2/1,,,SEARCH,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.008,00 00:00:00.005,32,"dn: TRAFFICID=008615800000001,dc=trafficId,ou=identities,dc=operator,dc=com
Search Scope: OBJECT
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False",[LDAP: error code 32 - No Such Object],
internal,node11609210707360422CAI3G1_2,/3,,,GET,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.013,00 00:00:00.002,,,[LDAP: error code 32 - No Such Object],
southbound,node11609210707360422CAI3G1_2,/3/1,,,SEARCH,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.013,00 00:00:00.002,32,"dn: TRAFFICID=usrIdentifier:008615800000001,dc=trafficId,ou=identities,dc=operator,dc=com
Search Scope: OBJECT
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False",[LDAP: error code 32 - No Such Object],
internal,node11609210707360422CAI3G1_2,/4,,,GET,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.015,00 00:00:00.002,,,[LDAP: error code 32 - No Such Object],
southbound,node11609210707360422CAI3G1_2,/4/1,,,SEARCH,FAILED,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.016,00 00:00:00.001,32,"dn: TRAFFICID=usrIMSI:460000722009813,dc=trafficId,ou=identities,dc=operator,dc=com
Search Scope: OBJECT
Search Filter: (objectClass=*)
Time Limit Milliseconds : 0
Count Limit: 0
Return Object: False
DerefAliases: ALWAYS
DerefLink: False",[LDAP: error code 32 - No Such Object],
internal,node11609210707360422CAI3G1_2,/5,,,ADD,SUCCESSFUL,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.018,00 00:00:00.009,0,,,
southbound,node11609210707360422CAI3G1_2,/5/1,,,ADD,SUCCESSFUL,,node1,LDAP,sapc_cudb,2016-09-21 07.07.37.018,00 00:00:00.008,0,"dn: TRAFFICID=008615800000001,dc=trafficId,ou=identities,dc=operator,dc=com
changetype: add
objectClass: top
objectClass: alias
objectClass: TRAFFICID
aliasedObjectName: mscId=008615800000001,ou=multiSCs,dc=operator,dc=com",,
